<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FPT,20100817,14.0082,14.1022,13.7262,14.1022,146050
FPT,20100816,13.3501,13.8202,13.2561,13.8202,130520
FPT,20100813,13.1621,13.4441,13.0681,13.3501,173160
FPT,20100812,13.8202,13.8202,13.3501,13.3501,208310
FPT,20100811,14.1022,14.1022,13.9141,13.9142,33000
FPT,20100810,13.8189,13.8189,13.5406,13.7261,309210
FPT,20100809,14.0971,14.0971,13.8189,13.9116,240080
FPT,20100806,14.4681,14.4681,14.0971,14.2826,277060
FPT,20100805,14.4681,14.6536,14.2826,14.6536,303250
FPT,20100804,14.2826,14.4681,13.9116,14.0044,276520
FPT,20100803,14.4681,14.8391,14.3754,14.4681,431310
FPT,20100802,14.0044,14.2826,14.0044,14.1899,198490
FPT,20100730,14.0971,14.4681,13.9116,14.2826,722770
FPT,20100729,13.1697,13.8189,13.1697,13.8189,504800
FPT,20100728,13.1697,13.4479,13.0769,13.1697,164670
FPT,20100727,13.1697,13.4480,13.0770,13.4479,943920
FPT,20100726,13.0769,13.0769,12.8914,12.8915,79350
FPT,20100723,13.0769,13.0769,12.9842,13.0769,180270
FPT,20100722,12.9842,13.0770,12.8915,12.9842,398000
FPT,20100721,12.8915,12.8915,12.7987,12.8915,131970
FPT,20100720,12.9842,12.9842,12.7987,12.9842,125270
FPT,20100719,12.8915,12.9842,12.7988,12.9842,116500
FPT,20100716,12.8915,12.8915,12.7988,12.8915,56830
FPT,20100715,12.6133,12.8915,12.6133,12.8915,122480
FPT,20100714,12.8915,12.8915,12.7060,12.7060,78990
FPT,20100713,12.9842,12.9842,12.7987,12.8915,480870
FPT,20100712,12.5205,12.7060,12.5205,12.7060,70640
FPT,20100709,12.8915,12.8915,12.7060,12.7987,43130
FPT,20100708,12.7060,12.9842,12.7060,12.8915,170440
FPT,20100707,12.7987,12.7987,12.5205,12.5205,118100
FPT,20100706,12.7987,12.7987,12.5205,12.6132,256550
FPT,20100705,12.7987,12.7987,12.6132,12.7060,165700
FPT,20100702,12.7987,12.7987,12.5205,12.6132,133410
FPT,20100701,12.6132,12.9842,12.6132,12.9842,276410
FPT,20100630,12.8915,12.8915,12.5205,12.7987,104470
FPT,20100629,12.7987,12.9842,12.7059,12.8915,481940
FPT,20100628,12.6133,12.7060,12.6133,12.6132,53210
FPT,20100625,12.7060,12.8915,12.6133,12.7060,113780
FPT,20100624,12.5205,13.0770,12.5205,12.8915,315930
FPT,20100623,12.7987,12.8915,12.5205,12.5205,85850
FPT,20100622,12.7987,12.9842,12.7060,12.9842,272670
FPT,20100621,12.7987,12.7987,12.6132,12.7987,190170
FPT,20100618,12.7987,12.7987,12.5205,12.5205,192690
FPT,20100617,12.6132,12.7060,12.5205,12.7060,284160
FPT,20100616,12.5205,12.5205,12.3350,12.5205,92920
FPT,20100615,12.4278,12.5205,12.3350,12.3350,133940
FPT,20100614,12.6132,12.7059,12.6132,12.7060,222930
FPT,20100611,12.5205,12.5205,12.3350,12.4277,137070
FPT,20100610,12.2422,12.4277,12.2422,12.3350,166990
FPT,20100609,12.2423,12.3350,12.1495,12.2422,141270
